Symbol,Price~,"Exp Date",Type,Strike,Moneyness,Bid,Ask,Volume,"Open Int",Vol/OI,"Imp Vol",Delta,Time
MRNA,26.19,2025-06-06,Call,30.50,-16.99%,0.1,0.12,18019,210,85.8,69.81%,0.090109,"10:56 ET"
OKLO,53.14,2025-06-06,Put,44.00,-18.15%,0.42,0.53,6975,172,40.55,109.47%,-0.106204,"11:00 ET"
IONQ,40.47,2025-06-06,Put,36.00,-12.37%,0.46,0.58,3685,119,30.97,99.00%,-0.155866,"11:03 ET"
BHF,59.09,2025-07-18,Put,55.00,-6.83%,2.6,2.65,8063,289,27.9,51.01%,-0.316725,"11:07 ET"
NVDA,135.23,2025-07-11,Call,140.00,-2.05%,5.65,5.8,3291,121,27.2,38.90%,0.456759,"11:05 ET"
FCEL,5.39,2025-06-06,Call,6.00,-13.42%,0.21,0.23,3848,151,25.48,226.25%,0.317188,"11:04 ET"
GAP,22.28,2025-05-30,Call,22.50,+0.88%,0.22,0.3,5650,257,21.98,42.80%,0.427377,"11:03 ET"
ETSY,54.48,2025-06-20,Call,56.00,-3.11%,1.32,1.39,5510,253,21.78,37.15%,0.395243,"11:04 ET"
UPST,46.28,2025-06-06,Call,48.00,-3.94%,1.09,1.2,2410,123,19.59,68.35%,0.3827,"10:59 ET"
PLTR,129.54,2025-05-30,Put,129.00,+0.26%,0.57,0.61,5917,314,18.84,58.38%,-0.275275,"11:05 ET"
HOLX,62.37,2025-12-19,Call,70.00,-11.29%,2.6,5,2000,109,18.35,35.14%,0.358091,"10:35 ET"
LVS,41.12,2025-06-20,Call,42.50,-3.58%,0.85,0.92,2166,125,17.33,38.91%,0.374243,"11:03 ET"
FCX,38.37,2025-06-13,Call,41.00,-6.27%,0.4,0.45,3408,208,16.38,40.99%,0.238166,"11:02 ET"
ASTS,23.13,2025-05-30,Call,23.00,+0.99%,0.32,0.47,2345,145,16.17,79.45%,0.739549,"11:08 ET"
NVDA,135.23,2025-07-03,Put,119.00,-13.26%,1.26,1.29,6611,418,15.82,38.90%,-0.132702,"11:04 ET"
BB,3.97,2025-06-06,Call,3.50,+11.84%,0.47,0.51,5825,388,15.01,74.42%,0.883603,"10:57 ET"
BBY,66.43,2025-06-06,Call,68.00,-2.06%,0.72,0.78,1524,117,13.03,35.96%,0.343316,"10:41 ET"
RRGB,5.15,2025-06-20,Call,5.00,+2.72%,0.7,0.8,5280,409,12.91,119.04%,0.621009,"11:03 ET"
GAP,22.28,2025-05-30,Call,22.00,+3.08%,0.38,0.58,1461,124,11.78,42.80%,0.688996,"11:01 ET"
ZIM,17.12,2025-06-27,Put,16.00,-6.60%,0.71,0.9,1582,144,10.99,55.01%,-0.386884,"10:47 ET"
PLTR,129.54,2025-06-06,Call,141.00,-9.58%,1.7,1.76,8757,800,10.95,58.38%,0.242667,"11:05 ET"
SMCI,39.8,2025-06-20,Call,47.50,-17.84%,0.72,0.75,1504,140,10.74,71.14%,0.200618,"10:45 ET"
CRM,264.36,2025-09-19,Call,290.00,-10.06%,9.7,9.9,11019,1029,10.71,28.30%,0.344305,"11:04 ET"
IONQ,40.47,2025-05-30,Call,41.00,+0.19%,0.39,0.7,3005,281,10.69,99.00%,0.457095,"11:04 ET"
DELL,111.66,2025-06-20,Put,113.00,+0.42%,4.2,4.35,3346,322,10.39,40.85%,-0.478871,"11:02 ET"
MRVL,60.53,2025-06-06,Call,62.00,-2.07%,1.27,1.32,2540,251,10.12,54.51%,0.402257,"11:04 ET"
MTCH,29.81,2025-06-06,Put,29.00,-2.82%,0.21,0.24,2501,259,9.66,34.18%,-0.264345,"10:04 ET"
BITF,0.9245,2027-01-15,Put,2.0000,+116.19%,1.24,1.3,5000,520,9.62,180.10%,-0.52047,"10:15 ET"
DG,97.71,2025-06-06,Call,105.00,-7.30%,1.77,1.86,1003,105,9.55,48.06%,0.27972,"10:57 ET"
XYZ,61.61,2025-06-06,Call,64.00,-3.66%,0.62,0.66,9776,1025,9.54,43.98%,0.277594,"10:54 ET"
MRVL,60.53,2025-05-30,Call,61.00,-0.43%,0.34,0.39,4006,423,9.47,54.51%,0.387719,"11:03 ET"
FCX,38.37,2025-06-06,Put,39.50,+2.38%,1.45,1.52,1011,113,8.95,40.99%,-0.659959,"10:49 ET"
SHOP,106.44,2025-06-06,Call,106.00,+0.43%,3.2,3.35,2075,234,8.87,46.31%,0.565479,"10:53 ET"
META,643.25,2025-06-06,Call,657.50,-1.70%,4.85,5,1532,173,8.86,29.35%,0.314485,"11:04 ET"
COST,1045.35,2025-06-06,Call,"1,080.00",-4.04%,1.75,1.9,1025,116,8.84,22.15%,0.112636,"11:03 ET"
IONQ,40.47,2025-05-30,Call,40.50,+1.41%,0.55,0.98,961,111,8.66,99.00%,0.584782,"11:03 ET"
PRM,12.02,2026-01-16,Call,12.50,-2.97%,1.65,1.8,2001,234,8.55,43.01%,0.567603,"10:39 ET"
PLTR,129.54,2025-05-30,Put,128.00,-0.52%,0.35,0.4,9195,1079,8.52,58.38%,-0.187891,"11:05 ET"
BABA,113.62,2025-05-30,Call,115.00,-0.54%,0.17,0.2,3334,392,8.51,35.69%,0.247384,"11:07 ET"
COST,1045.35,2025-05-30,Call,"1,050.00",-1.15%,0.8,1.01,8518,1005,8.48,22.15%,0.137795,"11:05 ET"
SMMT,19.48,2025-12-19,Call,15.00,+22.88%,7,8.9,1063,126,8.44,95.53%,0.767122,"10:55 ET"
AI,26.71,2025-06-06,Put,24.50,-10.62%,0.13,0.15,3407,404,8.43,56.78%,-0.114647,"11:03 ET"
U,27.36,2025-05-30,Call,26.00,+2.55%,0.76,0.82,7504,891,8.42,83.90%,0.729633,"11:03 ET"
TIGR,7.86,2027-01-15,Put,7.00,-11.17%,1.72,2.05,5205,619,8.41,53.87%,-0.268092,"10:50 ET"
VZ,43.8,2025-07-03,Call,45.00,-2.93%,0.52,0.56,1403,168,8.35,19.14%,0.32427,"10:24 ET"
TSLA,360.14,2025-06-06,Call,342.50,+5.56%,24.2,24.35,5301,648,8.18,61.68%,0.772357,"11:01 ET"
PLTR,129.54,2025-06-06,Put,128.00,-0.52%,3.2,3.35,2908,364,7.99,58.38%,-0.376004,"11:04 ET"
MRVL,60.53,2025-06-06,Call,61.00,-0.43%,1.67,1.75,2071,261,7.93,54.51%,0.485758,"11:00 ET"
TSLA,360.14,2025-06-06,Call,337.50,+6.94%,28,28.4,5318,682,7.8,61.68%,0.821591,"11:02 ET"
CLF,5.76,2026-06-18,Put,3.00,-48.45%,0.34,0.38,3015,390,7.73,77.31%,-0.107275,"10:53 ET"
NVDA,135.23,2025-05-30,Call,138.00,-0.59%,0.13,0.14,89207,11594,7.69,38.90%,0.154753,"11:05 ET"
PONY,19.27,2025-11-21,Put,20.00,+1.47%,7.3,7.9,1003,132,7.6,149.26%,-0.310124,"10:16 ET"
PLTR,129.54,2025-05-30,Put,131.00,+1.81%,1.33,1.39,2206,299,7.38,58.38%,-0.488593,"11:05 ET"
MRVL,60.53,2025-06-20,Put,56.00,-7.80%,1.31,1.38,1387,194,7.15,54.51%,-0.253987,"10:46 ET"
SMR,31.75,2025-07-18,Call,36.00,-10.46%,3.3,3.45,1060,150,7.07,103.23%,0.461262,"11:01 ET"
AGNC,8.9,2025-07-03,Call,9.00,-1.24%,0.16,0.19,1530,217,7.05,28.61%,0.436883,"10:45 ET"
PLTR,129.54,2025-06-06,Put,129.00,+0.26%,3.6,3.75,1972,288,6.85,58.38%,-0.409909,"11:04 ET"
VST,159.55,2025-06-06,Put,144.00,-10.04%,0.35,0.56,702,104,6.75,53.71%,-0.081389,"10:49 ET"
LUMN,3.86,2025-06-27,Call,4.00,-2.83%,0.22,0.26,1005,150,6.7,65.11%,0.457576,"10:31 ET"
XOM,101.82,2025-06-06,Put,97.00,-5.13%,0.2,0.23,1688,258,6.54,24.05%,-0.105397,"11:04 ET"
PLTR,129.54,2025-05-30,Put,127.00,-1.30%,0.22,0.24,9127,1413,6.46,58.38%,-0.125726,"11:05 ET"
UUUU,4.93,2025-10-17,Call,3.00,+39.15%,2.05,2.15,722,114,6.33,71.23%,0.911179,"10:41 ET"
VERU,0.5097,2025-06-27,Put,0.5000,-1.96%,0,0.1,1262,200,6.31,305.47%,-0.40776,"09:49 ET"
COST,1045.35,2025-05-30,Put,"1,030.00",-0.77%,2.3,2.6,750,119,6.3,22.15%,-0.301028,"11:04 ET"
DELL,111.66,2025-06-06,Put,107.00,-4.91%,0.71,0.85,810,132,6.14,40.85%,-0.186408,"10:59 ET"
TTD,74.71,2025-06-13,Put,73.00,-1.99%,1.8,1.9,1018,170,5.99,44.54%,-0.382306,"11:02 ET"
RRGB,5.15,2025-06-20,Put,5.00,-2.72%,0.5,0.6,813,136,5.98,119.04%,-0.379359,"11:03 ET"
COST,1045.35,2025-05-30,Put,"1,020.00",-1.74%,0.65,0.95,942,158,5.96,22.15%,-0.110963,"11:02 ET"
GAP,22.28,2025-06-06,Put,22.50,-0.88%,0.55,0.69,767,130,5.9,42.80%,-0.535259,"11:02 ET"
