Symbol,Price~,"Exp Date",Type,Strike,Moneyness,Bid,Ask,Volume,"Open Int",Vol/OI,"Imp Vol",Delta,Time
CSX,32.81,2025-06-20,Call,33.50,-2.67%,0.25,0.3,5548,101,54.93,19.60%,0.301162,"11:47 ET"
UPS,102.43,2025-06-13,Call,103.00,-0.62%,0.79,0.86,24065,528,45.58,25.94%,0.409804,"11:50 ET"
GOOGL,180.15,2025-06-13,Put,177.50,-0.87%,1.23,1.25,8282,237,34.95,26.89%,-0.336464,"11:51 ET"
GOOG,181.65,2025-06-13,Put,180.00,-0.34%,1.58,1.6,7052,206,34.23,26.72%,-0.402408,"11:51 ET"
DK,19.98,2025-07-18,Call,22.50,-12.95%,0.65,0.7,10359,352,29.43,61.14%,0.295611,"11:48 ET"
HAL,21.9,2025-06-27,Put,20.00,-9.05%,0.12,0.14,9312,336,27.71,36.87%,-0.13086,"11:42 ET"
QUBT,15.68,2025-06-13,Put,15.00,-5.18%,0.55,0.65,2761,103,26.81,126.07%,-0.357883,"11:51 ET"
NVDA,143.02,2025-07-25,Put,130.00,-8.56%,2.6,2.63,5352,223,24,35.43%,-0.217676,"11:42 ET"
USB,45.24,2025-06-13,Call,46.00,-1.50%,0.17,0.18,7115,338,21.05,23.17%,0.26364,"11:51 ET"
LRCX,90.88,2025-07-11,Call,95.00,-5.44%,1.75,2.03,2193,105,20.89,35.76%,0.339459,"11:48 ET"
DIS,119.64,2025-06-13,Call,119.00,-0.69%,0.8,0.86,6916,353,19.59,20.38%,0.451866,"11:51 ET"
DIS,119.64,2025-06-13,Call,122.00,-3.23%,0.13,0.16,3310,173,19.13,20.38%,0.110367,"11:51 ET"
COP,91.43,2025-06-27,Put,85.00,-6.76%,0.53,0.6,1929,103,18.73,29.33%,-0.157633,"11:47 ET"
NVDA,143.02,2025-07-25,Put,142.00,-0.12%,6.6,6.7,2027,110,18.43,35.43%,-0.44647,"11:33 ET"
TRMD,17.02,2025-06-20,Call,17.50,-2.46%,0.15,0.2,8285,460,18.01,44.98%,0.319818,"11:45 ET"
TOST,42.72,2025-10-17,Put,40.00,-6.06%,3.1,3.2,2505,142,17.64,37.49%,-0.338254,"11:47 ET"
GOOGL,180.15,2025-06-13,Put,180.00,+0.53%,2.28,2.31,4682,279,16.78,26.89%,-0.515563,"11:51 ET"
TEVA,17.88,2025-12-19,Call,24.00,-33.26%,0.41,0.6,7121,447,15.93,36.11%,0.191523,"11:29 ET"
PLUG,1.305,2025-06-13,Put,1.5000,+13.59%,0.23,0.25,6103,385,15.85,165.59%,-0.636326,"11:51 ET"
AMD,123,2025-07-03,Call,145.00,-19.20%,0.42,0.44,2135,135,15.81,40.28%,0.073521,"11:37 ET"
QUBT,15.68,2025-06-13,Call,17.50,-10.62%,0.35,0.45,2643,171,15.46,126.07%,0.287805,"11:51 ET"
COGT,7.34,2025-08-15,Call,7.00,+4.37%,2.7,3.5,2001,135,14.82,128.59%,0.714552,"10:05 ET"
NFLX,1187.99,2025-06-13,Call,"1,200.00",-1.28%,9.35,9.95,2616,179,14.61,26.78%,0.393565,"11:51 ET"
EPD,32.07,2025-06-13,Put,32.00,+0.09%,0.21,0.26,3178,222,14.32,17.57%,-0.517944,"11:30 ET"
TSLA,318.14,2025-06-13,Put,312.50,-1.74%,6.1,6.2,18757,1341,13.99,62.49%,-0.372869,"11:51 ET"
NFLX,1187.99,2025-06-13,Call,"1,215.00",-2.55%,4.9,5.3,1535,129,11.9,26.78%,0.246245,"11:51 ET"
ADM,48.68,2025-06-13,Call,48.50,+0.57%,0.5,0.6,2019,170,11.88,23.62%,0.587543,"11:45 ET"
CAH,152.52,2025-06-13,Call,160.00,-4.97%,0.1,0.55,2429,207,11.73,21.05%,0.079307,"11:27 ET"
CHWY,45.34,2025-06-13,Call,47.00,-4.28%,1.46,1.49,5823,514,11.33,55.29%,0.407769,"11:51 ET"
LRCX,90.88,2025-06-13,Call,90.00,+0.11%,1.64,1.68,8859,783,11.31,35.76%,0.546265,"11:50 ET"
NVDA,143.02,2025-06-27,Call,120.00,+15.59%,23.2,23.4,10005,932,10.73,35.43%,0.951433,"11:50 ET"
TIGR,8.4,2025-06-27,Put,8.00,-4.88%,0.19,0.23,3025,283,10.69,57.09%,-0.307666,"11:18 ET"
DIS,119.64,2025-06-13,Call,117.00,+1.00%,2,2.15,7981,774,10.31,20.38%,0.738955,"11:51 ET"
TGT,101.79,2025-06-20,Put,94.00,-8.07%,0.23,0.26,4029,395,10.2,34.01%,-0.083225,"11:42 ET"
TSLA,318.14,2025-06-13,Call,317.50,+0.17%,9.6,9.7,30356,3008,10.09,62.49%,0.541914,"11:51 ET"
QUBT,15.68,2025-06-13,Call,20.00,-26.42%,0.15,0.2,3455,344,10.04,126.07%,0.122884,"11:51 ET"
